,北京,上海,天津,重庆,河北,山西,内蒙古,东北,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,台湾,河南,湖北,湖南,广东,广西,海南,香港,澳门,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
0,可靠,卓越,纯正,豪爽,本分,豪爽,豪爽,豪爽,豪爽,好客,纯正,文静,志愿,文静,志愿,豪爽,豪爽,独立,本分,豪爽,豪爽,纯正,文静,好客,乐天,乐天,豪爽,好客,豪爽,淳朴,豪爽,豪爽,豪爽,豪爽,纯正
1,卓越,诚信,老实,好客,志愿,骁勇,纯正,好客,专一,豪爽,老实,卓越,卓越,豪爽,念旧,耿直,斯文,乐天,豪爽,好客,文静,斯文,志愿,逍遥,卓越,卓越,豪迈,豪爽,逍遥,纯朴,豪迈,骁勇,好客,豪迈,卓越
2,纯正,博爱,仁爱,仁爱,老实,本分,好客,豪放,志愿,纯正,文静,果断,专一,老实,忠孝,志愿,好客,怀旧,博爱,文静,好客,好客,果敢,豪爽,纯正,纯正,好客,纯正,好客,虔诚,老实,豪迈,淳朴,卓越,独立
3,诚信,纯正,博爱,健谈,豪爽,耿直,老实,豪迈,骁勇,文静,志愿,能干,博学,斯文,纯正,好客,博学,纯正,好客,专一,专一,怀旧,好客,乐天,独立,友好,仁义,淳朴,豪迈,好客,骁勇,老实,逍遥,文静,好客
4,老实,乐天,口才,豪迈,仁爱,豪迈,淳朴,淳朴,友好,诚实,豪爽,老实,果断,健谈,斯文,博学,仁义,卓越,仁义,博爱,耿直,义气,纯正,豪迈,完美,诚信,老实,可靠,文静,慈悲,仁义,志气,豪迈,仁爱,淳朴
5,乐天,外向,乐天,博爱,能干,忠烈,豪放,老实,本分,老实,纯粹,聪明,能干,博学,忠烈,上进,仁爱,正派,诚信,志愿,志愿,念旧,豪爽,豪放,纯粹,信誉,耿直,老实,淳朴,豪放,文静,志向,纯正,好客,老实
6,信誉,素质,可靠,老实,骁勇,博学,豪迈,耿直,文静,友好,逍遥,博学,诚信,专一,本分,文静,老实,完美,仁爱,忠义,博学,志愿,逍遥,志向,怀旧,怀旧,豪放,好学,爽快,豪爽,英明,豪放,纯朴,博爱,能干
7,踏实,仁爱,友好,文静,专一,渊博,志愿,纯正,豪迈,本分,专一,豪爽,上进,机灵,好客,机智,志向,纯粹,博学,老实,豪迈,专一,聪明,文静,友好,好客,忠义,豪迈,老实,奔放,忠烈,安分,文静,老实,优秀
8,体面,可靠,诚信,专一,志向,老实,本分,朴实,博学,能干,诚实,专一,本分,本分,博学,豪迈,骁勇,老实,耿直,耿直,直率,豪爽,豪迈,英明,天才,慈善,专一,专一,君子,纯正,博学,好客,豪放,纯正,豪爽
9,仁爱,品味,豪爽,耿直,正直,好客,专一,奔放,好客,博爱,友好,斯文,志向,朴实,上进,机灵,忠义,单纯,渊博,亲切,豪放,卓越,能干,广博,可靠,果敢,逍遥,醇厚,果敢,纯洁,忠义,进取,朴实,逍遥,团结
